Rank,Country,Happiness 2021,Happiness 2020,2022 Population
1,Finland,7.842,7.809,"5,554,960"
2,Denmark,7.62,7.646,"5,834,950"
3,Switzerland,7.571,7.56,"8,773,637"
4,Iceland,7.554,7.504,"345,393"
5,Netherlands,7.464,7.449,"17,211,447"
6,Norway,7.392,7.488,"5,511,370"
7,Sweden,7.363,7.353,"10,218,971"
8,Luxembourg,7.324,7.238,"642,371"
9,New Zealand,7.277,7.3,"4,898,203"
10,Austria,7.268,7.294,"9,066,710"
11,Australia,7.183,7.223,"26,068,792"
12,Israel,7.157,7.129,"8,922,892"
13,Germany,7.155,7.076,"83,883,596"
14,Canada,7.103,7.232,"38,388,419"
15,Ireland,7.085,7.129,"5,020,199"
16,Costa Rica,7.069,7.121,"5,182,354"
17,United Kingdom,7.064,7.165,"68,497,907"
18,Czech Republic,6.965,6.911,"10,736,784"
19,United States,6.951,6.94,"334,805,269"
20,Belgium,6.834,6.864,"11,668,278"
21,France,6.69,6.664,"65,584,518"
22,Bahrain,6.647,6.227,"1,783,983"
23,Malta,6.602,6.773,"444,033"
24,Taiwan,6.584,6.455,"23,888,595"
25,United Arab Emirates,6.561,6.791,"10,081,785"
26,Saudi Arabia,6.494,6.406,"35,844,909"
27,Spain,6.491,6.401,"46,719,142"
28,Italy,6.483,6.387,"60,262,770"
29,Slovenia,6.461,6.363,"2,078,034"
30,Guatemala,6.435,6.399,"18,584,039"
31,Uruguay,6.431,6.44,"3,496,016"
32,Singapore,6.377,6.377,"5,943,546"
33,Slovakia,6.331,6.281,"5,460,193"
34,Brazil,6.33,6.376,"215,353,593"
35,Mexico,6.317,6.465,"131,562,772"
36,Jamaica,6.309,5.89,"2,985,094"
37,Lithuania,6.255,6.215,"2,661,708"
38,Cyprus,6.223,6.159,"1,223,387"
39,Estonia,6.189,6.022,"1,321,910"
40,Panama,6.18,6.305,"4,446,964"
41,Uzbekistan,6.179,6.258,"34,382,084"
42,Chile,6.172,6.228,"19,250,195"
43,Poland,6.166,6.186,"37,739,785"
44,Kazakhstan,6.152,6.058,"19,205,043"
45,Romania,6.14,6.124,"19,031,335"
46,Kuwait,6.106,6.102,"4,380,326"
47,Serbia,6.078,5.778,"8,653,016"
48,El Salvador,6.061,6.348,"6,550,389"
49,Mauritius,6.049,6.101,"1,274,727"
50,Latvia,6.032,5.95,"1,848,837"
51,Colombia,6.012,6.163,"51,512,762"
52,Hungary,5.992,6,"9,606,259"
53,Thailand,5.985,5.999,"70,078,203"
54,Nicaragua,5.972,6.137,"6,779,100"
55,Japan,5.94,5.871,"125,584,838"
56,Argentina,5.929,5.975,"46,010,234"
57,Portugal,5.929,5.911,"10,140,570"
58,Honduras,5.919,5.953,"10,221,247"
59,Croatia,5.882,5.505,"4,059,286"
60,Philippines,5.88,6.006,"112,508,994"
61,South Korea,5.845,5.872,"51,329,899"
62,Peru,5.84,5.797,"33,684,208"
63,Bosnia And Herzegovina,5.813,5.674,"3,249,317"
64,Moldova,5.766,5.608,"4,013,171"
65,Ecuador,5.764,5.925,"18,113,361"
66,Kyrgyzstan,5.744,5.542,"6,728,271"
67,Greece,5.723,5.515,"10,316,637"
68,Bolivia,5.716,5.747,"11,992,656"
69,Mongolia,5.677,5.456,"3,378,078"
70,Paraguay,5.653,5.692,"7,305,843"
71,Montenegro,5.581,5.546,"627,950"
72,Dominican Republic,5.545,5.689,"11,056,370"
73,Belarus,5.534,5.54,"9,432,800"
74,Russia,5.477,5.546,"145,805,947"
75,Hong Kong,5.477,5.51,"7,604,299"
76,Tajikistan,5.466,5.556,"9,957,464"
77,Vietnam,5.411,5.353,"98,953,541"
78,Libya,5.41,5.489,"7,040,745"
79,Malaysia,5.384,5.384,"33,181,072"
80,Indonesia,5.345,5.286,"279,134,505"
81,Republic of the Congo,5.342,5.194,"5,797,805"
82,China,5.339,5.124,"1,448,471,400"
83,Ivory Coast,5.306,5.233,"27,742,298"
84,Armenia,5.283,4.677,"2,971,966"
85,Nepal,5.269,5.137,"30,225,582"
86,Bulgaria,5.266,5.102,"6,844,597"
87,Maldives,5.198,5.198,"540,985"
88,Azerbaijan,5.171,5.165,"10,300,205"
89,Cameroon,5.142,5.085,"27,911,548"
90,Senegal,5.132,4.981,"17,653,671"
91,Albania,5.117,4.883,"2,866,374"
92,North Macedonia,5.101,5.16,"2,081,304"
93,Ghana,5.088,5.148,"32,395,450"
94,Niger,5.074,4.91,"26,083,660"
95,Turkmenistan,5.066,5.119,"6,201,943"
96,Gambia,5.051,4.751,"2,558,482"
97,Benin,5.045,5.216,"12,784,726"
98,Laos,5.03,4.889,"7,481,023"
99,Bangladesh,5.025,4.833,"167,885,689"
100,Guinea,4.984,4.949,"13,865,691"
101,South Africa,4.956,4.814,"60,756,135"
102,Turkey,4.948,5.132,"85,561,976"
103,Pakistan,4.934,5.693,"229,488,994"
104,Morocco,4.918,5.095,"37,772,756"
105,Venezuela,4.892,5.053,"29,266,991"
106,Georgia,4.891,4.673,"3,968,738"
107,Algeria,4.887,5.005,"45,350,148"
108,Ukraine,4.875,4.561,"43,192,122"
109,Iraq,4.854,4.785,"42,164,965"
110,Gabon,4.852,4.829,"2,331,533"
111,Burkina Faso,4.834,4.769,"22,102,838"
112,Cambodia,4.83,4.848,"17,168,639"
113,Mozambique,4.794,4.624,"33,089,461"
114,Nigeria,4.759,4.724,"216,746,934"
115,Mali,4.723,4.729,"21,473,764"
116,Iran,4.721,4.672,"86,022,837"
117,Uganda,4.636,4.432,"48,432,863"
118,Liberia,4.625,4.558,"5,305,117"
119,Kenya,4.607,4.583,"56,215,221"
120,Tunisia,4.596,4.392,"12,046,656"
121,Lebanon,4.584,4.772,"6,684,849"
122,Namibia,4.574,4.571,"2,633,874"
123,Myanmar,4.426,4.308,"55,227,143"
